review;label
tidak semua lagu album bisa diputar padahal langganan premium contohnya album scorpion lovedrive lagu lissie 1 2 semuanya bisa diputar iphone ponsel android nggak bisa rugi sih udah bayar dapatnya setengah2;0
maaf min kasi rating 2 bintang awal download sangat suka aplikasi sportify ofline masi bisa mendengarkan musik download lagunya skrng tidak bisa gunakan ofline terus online tidak ada lirik lagu nya apa hulasan lengkapmaaf min kasi rating 2 bintang awal download sangat suka aplikasi sportify ofline masi bisa mendengarkan musik download lagunya skrng tidak bisa gunakan ofline terus online tidak ada lirik lagu nya apa berlangganan premium thanks min;0
overall baguss yaaa cumaan tambahin tema temanya dongg biar bisa ganti ganti gituu jadinya ga dark mulu theme nya trus tolong dongg jangan ada fitur yg tidak bisa putar laguu ngeselin sumpahh mau muter lagu tiba tiba gabisa trus suka berhenti sendiri lagunya tolong perbaiki yaa admin aku udah pake premium lhoo aku gamau rugi aku pengin jadi pengguna setia sama app tolong admin tolong perbaiki;0
bagus sih cuma beberapa lagu bertahan sana sheila on 7 kok gak ada udah berkalikali searching tetap gak ketemu emang sononya gak dimasukkan spotify gimana mohon dimaksimalkan lg kedepannya perbanyak lagulagunya biar makin lengkap;0
walaupun bukan pengguna aktif hari dengarkan lagu2 spotify sangat suka aplikasi lagu rating tinggi sedang trending sangat mudah dapatkan disini;1
cuman satu kurang library musik kadang ada sedari dulu terus tiba tiba hilang hari muncul sendiri masalah copyrigth ato gimana gua gk paham jelas mohon pihak spotify jangan suka ngilang ngilangin lagu udah beredar hahahaha semoga didengar;0
spotify knp jadi jelek lama2 padahal dah pakai yg premium promo nya kualitas lebih baik kalau pakai premium hasil nya musik putus2 baik yg sdh download online sdh cd rusak padahal kalau ada pembaharuan selalu ikut baru2 pakai bagus lancar ga pernah putus2 sekarang sering banget putus2 kalau putar;0
terima kasih buat aplikasi the best of the best music spotify yg kaya segala jenis genre musik spotify layak harusnya mendapat penghargaan mtv guinnes book atas wawasan berbagai jenisaliran musik jaman jaman lagu frank sinatra sekarang warga sangat berterima kasih banyak atas kesempatan mendengar lagu gratis premium 3 bulan the great music spotify wasallam;1
sangat suka aplikasi karna lagunya hampir semuanya ada cuma memberi 4 bintang krna hp klo mengshare lagu instagram story tidak bisa mohon bantuannya pelanggan premium trimakasih;1
awalnya bagus tp sekarang tiap kali memutar knp hrs shuftle yaa jdi ribet mau dengerin lagu mohon perbaiki punya kemarn dengerin lagu fiersa besari lngsung muncul semua lagunya tinggal mutar skrng hrs shuftle dulu ribet bngt jadinya;0
diupdate malah kurang memuaskan lagu? yg disukai gak bisa diputar cuman nyala beberapa detik aja gak bisa didengerin full kalau bisa difix cepetan pengguna nyaman kalau tak kunjung ada perubahan terpaksa uninstall deh;0
